year,importer,exporter,import_in_us_billion,import_spike_next_year,import_dip_next_year,exporter_region,importer_region
2000,Mexico,United States of America,140.29,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Mexico,United States of America,125.14,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Mexico,United States of America,117.21,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Mexico,United States of America,115.9,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Mexico,United States of America,121.91,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Mexico,United States of America,130.4,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Mexico,United States of America,143.34,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Mexico,United States of America,153.42,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Mexico,United States of America,166.47,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Mexico,United States of America,123.68,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Mexico,United States of America,159.51,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Mexico,United States of America,191.79,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Mexico,United States of America,203.62,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Mexico,United States of America,205.99,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Mexico,United States of America,214.81,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Colombia,United States of America,1.84,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Colombia,United States of America,2.57,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Colombia,United States of America,3.49,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Colombia,United States of America,3.84,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Colombia,United States of America,5.42,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Colombia,United States of America,5.19,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Colombia,United States of America,5.43,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Colombia,United States of America,4.72,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Colombia,United States of America,3.98,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Colombia,United States of America,4.01,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Colombia,United States of America,4.44,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Colombia,United States of America,3.92,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Colombia,United States of America,4.03,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Colombia,United States of America,4.78,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Colombia,United States of America,6.01,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Colombia,United States of America,6.78,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Colombia,United States of America,8.48,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Colombia,United States of America,11.58,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Colombia,United States of America,9.51,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Colombia,United States of America,10.53,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Colombia,United States of America,13.66,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Colombia,United States of America,14.17,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Colombia,United States of America,16.43,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Colombia,United States of America,18.26,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Venezuela,United States of America,5.27,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Venezuela,United States of America,6.49,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Venezuela,United States of America,5.92,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Venezuela,United States of America,3.7,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Venezuela,United States of America,4.59,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Venezuela,United States of America,4.12,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Venezuela,United States of America,6.13,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Venezuela,United States of America,6.32,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Venezuela,United States of America,5.38,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Venezuela,United States of America,6.36,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Venezuela,United States of America,6.26,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Venezuela,United States of America,4.3,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Venezuela,United States of America,2.77,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Venezuela,United States of America,4.99,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Venezuela,United States of America,6.89,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Venezuela,United States of America,9.35,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Venezuela,United States of America,11.13,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Venezuela,United States of America,12.53,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Venezuela,United States of America,10.1,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Venezuela,United States of America,9.75,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Venezuela,United States of America,10.44,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Venezuela,United States of America,19.39,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Venezuela,United States of America,14.54,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Venezuela,United States of America,12.47,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Peru,United States of America,0.68,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Peru,United States of America,1.12,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Peru,United States of America,1.33,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Peru,United States of America,1.72,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Peru,United States of America,2.21,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Peru,United States of America,2.58,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Peru,United States of America,2.86,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Peru,United States of America,2.85,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Peru,United States of America,2.31,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Peru,United States of America,1.98,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Peru,United States of America,1.89,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Peru,United States of America,2.2,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Peru,United States of America,2.59,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Peru,United States of America,3.25,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Peru,United States of America,2.37,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Peru,United States of America,2.69,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Peru,United States of America,3.83,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Peru,United States of America,5.9,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Peru,United States of America,4.79,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Peru,United States of America,6.43,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Peru,United States of America,8.2,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Peru,United States of America,8.84,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Peru,United States of America,9.72,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Peru,United States of America,9.76,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Brazil,United States of America,5.94,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Brazil,United States of America,5.55,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Brazil,United States of America,7.28,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Brazil,United States of America,7.48,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Brazil,United States of America,11.5,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Brazil,United States of America,13.02,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Brazil,United States of America,15.78,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Brazil,United States of America,14.92,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Brazil,United States of America,13.06,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Brazil,United States of America,14.3,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Brazil,United States of America,14.34,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Brazil,United States of America,11.48,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Brazil,United States of America,10.7,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Brazil,United States of America,12.67,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Brazil,United States of America,14.14,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Brazil,United States of America,16.34,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Brazil,United States of America,20.79,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Brazil,United States of America,28.43,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Brazil,United States of America,22.34,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Brazil,United States of America,29.99,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Brazil,United States of America,37.64,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Brazil,United States of America,35.85,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Brazil,United States of America,39.9,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Brazil,United States of America,38.83,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Chile,United States of America,1.58,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Chile,United States of America,1.98,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Chile,United States of America,2.48,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Chile,United States of America,2.64,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Chile,United States of America,3.79,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Chile,United States of America,4.11,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Chile,United States of America,4.33,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Chile,United States of America,4.03,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Chile,United States of America,3.01,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Chile,United States of America,3.3,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Chile,United States of America,2.87,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Chile,United States of America,2.53,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Chile,United States of America,2.76,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Chile,United States of America,3.57,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Chile,United States of America,5.13,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Chile,United States of America,6.17,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Chile,United States of America,7.86,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Chile,United States of America,11.91,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Chile,United States of America,7.96,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Chile,United States of America,10.01,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Chile,United States of America,15.11,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Chile,United States of America,18.59,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Chile,United States of America,16.08,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Chile,United States of America,14.3,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,Argentina,United States of America,1.5,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1992,Argentina,United States of America,3.23,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1993,Argentina,United States of America,3.86,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1994,Argentina,United States of America,4.93,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1995,Argentina,United States of America,3.67,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1996,Argentina,United States of America,4.75,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1997,Argentina,United States of America,6.07,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1998,Argentina,United States of America,6.1,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1999,Argentina,United States of America,5.0,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2000,Argentina,United States of America,4.82,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2001,Argentina,United States of America,3.78,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2002,Argentina,United States of America,1.8,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2003,Argentina,United States of America,2.26,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2004,Argentina,United States of America,3.88,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2005,Argentina,United States of America,4.52,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2006,Argentina,United States of America,4.29,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2007,Argentina,United States of America,5.34,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2008,Argentina,United States of America,6.98,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2009,Argentina,United States of America,5.16,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2010,Argentina,United States of America,6.35,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2011,Argentina,United States of America,7.89,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2012,Argentina,United States of America,8.49,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2013,Argentina,United States of America,8.12,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
2014,Argentina,United States of America,11.91,0,0,NORTHERN AMERICA,LATIN AMER. & CARIB
1991,United Kingdom,United States of America,24.38,0,0,NORTHERN AMERICA,WESTERN EUROPE
1992,United Kingdom,United States of America,24.28,0,0,NORTHERN AMERICA,WESTERN EUROPE
1993,United Kingdom,United States of America,24.64,0,0,NORTHERN AMERICA,WESTERN EUROPE
1994,United Kingdom,United States of America,27.17,0,0,NORTHERN AMERICA,WESTERN EUROPE
1995,United Kingdom,United States of America,32.14,0,0,NORTHERN AMERICA,WESTERN EUROPE
1996,United Kingdom,United States of America,36.0,0,0,NORTHERN AMERICA,WESTERN EUROPE
1997,United Kingdom,United States of America,41.18,0,0,NORTHERN AMERICA,WESTERN EUROPE
1998,United Kingdom,United States of America,42.7,0,0,NORTHERN AMERICA,WESTERN EUROPE
1999,United Kingdom,United States of America,41.3,0,0,NORTHERN AMERICA,WESTERN EUROPE
2000,United Kingdom,United States of America,45.0,0,0,NORTHERN AMERICA,WESTERN EUROPE
2001,United Kingdom,United States of America,45.06,0,0,NORTHERN AMERICA,WESTERN EUROPE
2002,United Kingdom,United States of America,39.9,0,0,NORTHERN AMERICA,WESTERN EUROPE
2003,United Kingdom,United States of America,39.23,0,0,NORTHERN AMERICA,WESTERN EUROPE
2004,United Kingdom,United States of America,42.14,0,0,NORTHERN AMERICA,WESTERN EUROPE
2005,United Kingdom,United States of America,36.92,0,0,NORTHERN AMERICA,WESTERN EUROPE
2006,United Kingdom,United States of America,42.73,0,0,NORTHERN AMERICA,WESTERN EUROPE
2007,United Kingdom,United States of America,47.53,0,0,NORTHERN AMERICA,WESTERN EUROPE
2008,United Kingdom,United States of America,48.78,0,0,NORTHERN AMERICA,WESTERN EUROPE
2009,United Kingdom,United States of America,40.14,0,0,NORTHERN AMERICA,WESTERN EUROPE
2010,United Kingdom,United States of America,34.95,0,0,NORTHERN AMERICA,WESTERN EUROPE
2011,United Kingdom,United States of America,44.8,0,0,NORTHERN AMERICA,WESTERN EUROPE
2012,United Kingdom,United States of America,43.64,0,0,NORTHERN AMERICA,WESTERN EUROPE
2013,United Kingdom,United States of America,34.62,0,0,NORTHERN AMERICA,WESTERN EUROPE
2014,United Kingdom,United States of America,42.5,0,0,NORTHERN AMERICA,WESTERN EUROPE
1991,Ireland,United States of America,3.11,0,0,NORTHERN AMERICA,WESTERN EUROPE
1992,Ireland,United States of America,3.17,0,0,NORTHERN AMERICA,WESTERN EUROPE
1993,Ireland,United States of America,3.74,0,0,NORTHERN AMERICA,WESTERN EUROPE
1994,Ireland,United States of America,4.67,0,0,NORTHERN AMERICA,WESTERN EUROPE
1995,Ireland,United States of America,5.72,0,0,NORTHERN AMERICA,WESTERN EUROPE
1996,Ireland,United States of America,5.53,0,0,NORTHERN AMERICA,WESTERN EUROPE
1997,Ireland,United States of America,5.85,0,0,NORTHERN AMERICA,WESTERN EUROPE
1998,Ireland,United States of America,7.14,0,0,NORTHERN AMERICA,WESTERN EUROPE
1999,Ireland,United States of America,7.42,0,0,NORTHERN AMERICA,WESTERN EUROPE
2000,Ireland,United States of America,8.2,0,0,NORTHERN AMERICA,WESTERN EUROPE
2001,Ireland,United States of America,7.61,0,0,NORTHERN AMERICA,WESTERN EUROPE
2002,Ireland,United States of America,7.89,0,0,NORTHERN AMERICA,WESTERN EUROPE
2003,Ireland,United States of America,8.43,0,0,NORTHERN AMERICA,WESTERN EUROPE
2004,Ireland,United States of America,8.41,0,0,NORTHERN AMERICA,WESTERN EUROPE
2005,Ireland,United States of America,9.47,0,0,NORTHERN AMERICA,WESTERN EUROPE
2006,Ireland,United States of America,8.4,0,0,NORTHERN AMERICA,WESTERN EUROPE
2007,Ireland,United States of America,9.38,0,0,NORTHERN AMERICA,WESTERN EUROPE
2008,Ireland,United States of America,9.76,0,0,NORTHERN AMERICA,WESTERN EUROPE
2009,Ireland,United States of America,10.48,0,0,NORTHERN AMERICA,WESTERN EUROPE
2010,Ireland,United States of America,8.24,0,0,NORTHERN AMERICA,WESTERN EUROPE
2011,Ireland,United States of America,8.63,0,0,NORTHERN AMERICA,WESTERN EUROPE
2012,Ireland,United States of America,8.12,0,0,NORTHERN AMERICA,WESTERN EUROPE
2013,Ireland,United States of America,6.43,0,0,NORTHERN AMERICA,WESTERN EUROPE
2014,Ireland,United States of America,6.97,0,0,NORTHERN AMERICA,WESTERN EUROPE
1991,Netherlands,United States of America,9.81,0,0,NORTHERN AMERICA,WESTERN EUROPE
1992,Netherlands,United States of America,9.93,0,0,NORTHERN AMERICA,WESTERN EUROPE
1993,Netherlands,United States of America,9.9,0,0,NORTHERN AMERICA,WESTERN EUROPE
1994,Netherlands,United States of America,10.83,0,0,NORTHERN AMERICA,WESTERN EUROPE
1995,Netherlands,United States of America,14.07,0,0,NORTHERN AMERICA,WESTERN EUROPE
1996,Netherlands,United States of America,14.69,0,0,NORTHERN AMERICA,WESTERN EUROPE
1997,Netherlands,United States of America,15.58,0,0,NORTHERN AMERICA,WESTERN EUROPE
1998,Netherlands,United States of America,15.78,0,0,NORTHERN AMERICA,WESTERN EUROPE
1999,Netherlands,United States of America,19.64,0,0,NORTHERN AMERICA,WESTERN EUROPE
2000,Netherlands,United States of America,21.93,0,0,NORTHERN AMERICA,WESTERN EUROPE
2001,Netherlands,United States of America,20.67,0,0,NORTHERN AMERICA,WESTERN EUROPE
2002,Netherlands,United States of America,19.81,0,0,NORTHERN AMERICA,WESTERN EUROPE
2003,Netherlands,United States of America,21.09,0,0,NORTHERN AMERICA,WESTERN EUROPE
2004,Netherlands,United States of America,25.31,0,0,NORTHERN AMERICA,WESTERN EUROPE
2005,Netherlands,United States of America,27.54,0,0,NORTHERN AMERICA,WESTERN EUROPE
2006,Netherlands,United States of America,32.51,0,0,NORTHERN AMERICA,WESTERN EUROPE
2007,Netherlands,United States of America,36.02,0,0,NORTHERN AMERICA,WESTERN EUROPE
2008,Netherlands,United States of America,43.57,0,0,NORTHERN AMERICA,WESTERN EUROPE
2009,Netherlands,United States of America,34.38,0,0,NORTHERN AMERICA,WESTERN EUROPE
2010,Netherlands,United States of America,34.82,0,0,NORTHERN AMERICA,WESTERN EUROPE
2011,Netherlands,United States of America,34.51,0,0,NORTHERN AMERICA,WESTERN EUROPE
2012,Netherlands,United States of America,35.66,0,0,NORTHERN AMERICA,WESTERN EUROPE
2013,Netherlands,United States of America,37.1,0,0,NORTHERN AMERICA,WESTERN EUROPE
2014,Netherlands,United States of America,37.88,0,0,NORTHERN AMERICA,WESTERN EUROPE
1991,Belgium,United States of America,5.45,0,0,NORTHERN AMERICA,WESTERN EUROPE
1992,Belgium,United States of America,5.17,0,0,NORTHERN AMERICA,WESTERN EUROPE
1993,Belgium,United States of America,5.65,0,0,NORTHERN AMERICA,WESTERN EUROPE
1994,Belgium,United States of America,6.37,0,0,NORTHERN AMERICA,WESTERN EUROPE
1995,Belgium,United States of America,8.02,0,0,NORTHERN AMERICA,WESTERN EUROPE
1996,Belgium,United States of America,8.78,0,0,NORTHERN AMERICA,WESTERN EUROPE
1997,Belgium,United States of America,12.06,0,0,NORTHERN AMERICA,WESTERN EUROPE
1998,Belgium,United States of America,12.59,0,0,NORTHERN AMERICA,WESTERN EUROPE
1999,Belgium,United States of America,11.92,0,0,NORTHERN AMERICA,WESTERN EUROPE
2000,Belgium,United States of America,13.28,0,0,NORTHERN AMERICA,WESTERN EUROPE
2001,Belgium,United States of America,12.43,0,0,NORTHERN AMERICA,WESTERN EUROPE
2002,Belgium,United States of America,12.61,0,0,NORTHERN AMERICA,WESTERN EUROPE
2003,Belgium,United States of America,13.31,0,0,NORTHERN AMERICA,WESTERN EUROPE
2004,Belgium,United States of America,15.68,0,0,NORTHERN AMERICA,WESTERN EUROPE
2005,Belgium,United States of America,17.07,0,0,NORTHERN AMERICA,WESTERN EUROPE
2006,Belgium,United States of America,19.26,0,0,NORTHERN AMERICA,WESTERN EUROPE
2007,Belgium,United States of America,22.88,0,0,NORTHERN AMERICA,WESTERN EUROPE
2008,Belgium,United States of America,25.94,0,0,NORTHERN AMERICA,WESTERN EUROPE
2009,Belgium,United States of America,20.44,0,0,NORTHERN AMERICA,WESTERN EUROPE
2010,Belgium,United States of America,21.47,0,0,NORTHERN AMERICA,WESTERN EUROPE
2011,Belgium,United States of America,25.29,0,0,NORTHERN AMERICA,WESTERN EUROPE
2012,Belgium,United States of America,26.7,0,0,NORTHERN AMERICA,WESTERN EUROPE
2013,Belgium,United States of America,30.25,0,0,NORTHERN AMERICA,WESTERN EUROPE
2014,Belgium,United States of America,31.82,0,0,NORTHERN AMERICA,WESTERN EUROPE
1991,Luxembourg,United States of America,0.34,0,0,NORTHERN AMERICA,WESTERN EUROPE
1992,Luxembourg,United States of America,0.33,0,0,NORTHERN AMERICA,WESTERN EUROPE
1993,Luxembourg,United States of America,0.39,0,0,NORTHERN AMERICA,WESTERN EUROPE
1994,Luxembourg,United States of America,0.45,0,0,NORTHERN AMERICA,WESTERN EUROPE
1995,Luxembourg,United States of America,0.56,0,0,NORTHERN AMERICA,WESTERN EUROPE
1996,Luxembourg,United States of America,0.63,0,0,NORTHERN AMERICA,WESTERN EUROPE
1997,Luxembourg,United States of America,0.53,0,0,NORTHERN AMERICA,WESTERN EUROPE
1998,Luxembourg,United States of America,0.44,0,0,NORTHERN AMERICA,WESTERN EUROPE
1999,Luxembourg,United States of America,0.98,1,0,NORTHERN AMERICA,WESTERN EUROPE
2000,Luxembourg,United States of America,0.39,0,1,NORTHERN AMERICA,WESTERN EUROPE
2001,Luxembourg,United States of America,0.6,0,0,NORTHERN AMERICA,WESTERN EUROPE
2002,Luxembourg,United States of America,0.51,0,0,NORTHERN AMERICA,WESTERN EUROPE
2003,Luxembourg,United States of America,0.29,0,0,NORTHERN AMERICA,WESTERN EUROPE
2004,Luxembourg,United States of America,0.59,0,0,NORTHERN AMERICA,WESTERN EUROPE
